"Phys. Inventory Doc.","Material","Description","Plant","Storage Location","Book quantity (MB52)","Qty Counted","Difference Quantity","Base Unit of Measure","Net Cost Difference"
"100325381","10087803P30","SI REAR BARRIER HOR 30D 40W","","FLOR","2","0","0","H87","0"
"100325382","10087809P31","SC NEUTRAL DISC BUS 10A","","FLOR","7","0","0","H87","0"
"100325383","10087809P32","SC NEUTRAL DISC BUS 10/20A","","FLOR","7","0","0","H87","0"
"100325384","10087809P59","SC NEUTRAL DISC LINK 8A NO GF","","FLOR","8","0","0","H87","0"
"100325385","10087809P80","SC NEUTRAL SPLIT LOAD 08A 30D","","FLOR","1","0","0","H87","0"
"100325386","10087809P81","SC NEUTRAL SPLIT LOAD 08A 35D","","FLOR","2","0","0","H87","0"
"100325387","10087958P155","SM FLOOR PLATE STD RH 40D 35W","","FLOR","2","0","0","H87","0"
"100325388","10087958P55","SM FLOOR PLATE STD LH 40D 35W","","FLOR","2","0","0","H87","0"
"100325389","10088058P10","SA SPLICE NEUT OFF 08/16A 5","","FLOR","2","0","0","H87","0"
"100325390","10088058P11","SA BUS SPLICE OFFSET 08/16A","","FLOR","6","0","0","H87","0"
"100325391","10088058P13","SA BUS SPLICE OFFSET 08/16A","","FLOR","1","0","0","H87","0"
"100325392","10088058P2","SA BUS SPLICE OFFSET 16A","","FLOR","5","0","0","H87","0"
"100325393","10088058P4","SA BUS SPLICE OFFSET 16A","","FLOR","1","0","0","H87","0"
"100325395","10088058P47","SA BUS SPLICE OFFSET 12/25A","","FLOR","1","0","0","H87","0"
"100325397","10088058P55","SA BUS SPLICE OFFSET 30A","","FLOR","1","0","0","H87","0"
"100325398","10088058P60","SA BUS SPLICE OFFSET 30A","","FLOR","3","0","0","H87","0"
"100325399","10088058P64","SA BUS SPLICE OFFSET 30A","","FLOR","1","0","0","H87","0"
"100325400","10088058P69","SA BUS SPLICE OFFSET 30A","","FLOR","3","0","0","H87","0"
"100325401","10088058P78","SA BUS SPLICE OFFSET 40A","","FLOR","2","0","0","H87","0"
"100325402","10088058P87","SA BUS SPLICE OFFSET 40A","","FLOR","3","0","0","H87","0"
"100325403","10088094P1","SM BRKT, WIRE WAY","","FLOR","46","0","0","H87","0"
"100325404","10088096P13","SM SIDE BARR EUSERC 40D TB20","","FLOR","3","0","0","H87","0"
"100325405","10088096P14","SM SIDE BARR EUSERC 40D TB25","","FLOR","1","0","0","H87","0"
"100325406","10088096P2","SM SIDE BARR EUSERC 25D TB10","","FLOR","1","0","0","H87","0"
"100325407","10088096P25","SM SIDE BARR EUSERC 50D TB25","","FLOR","1","0","0","H87","0"
"100325408","10088096P26","SM SIDE BARR EUSERC 50D TB30","","FLOR","1","0","0","H87","0"
